substrate,focal_strain,solution,species,metabolite,flux
ac,E3R18,63,E3R18,acald,-1
ac,E3R18,63,G3M19,acald,1
ac,E3R18,63,B2M06,ade,1
ac,E3R18,63,G3M19,ade,-1
ac,E3R18,63,B2M06,ala__D,-1
ac,E3R18,63,E3R18,ala__D,1
ac,E3R18,63,B2M06,ala__L,1
ac,E3R18,63,C3M06,ala__L,-1
ac,E3R18,63,E3R18,ala__L,-1
ac,E3R18,63,C3M06,arg__L,-1
ac,E3R18,63,G3M19,arg__L,1
ac,E3R18,63,B2M06,asp__L,-1
ac,E3R18,63,C3M06,asp__L,1
ac,E3R18,63,E3R18,asp__L,1
ac,E3R18,63,B2M06,cgly,1
ac,E3R18,63,C3M06,cgly,-1
ac,E3R18,63,B2M06,co2,1
ac,E3R18,63,C3M06,co2,-1
ac,E3R18,63,E3R18,co2,-1
ac,E3R18,63,G3M19,co2,1
ac,E3R18,63,B2M06,etoh,-1
ac,E3R18,63,C3M06,etoh,1
ac,E3R18,63,E3R18,etoh,-1
ac,E3R18,63,G3M19,etoh,-1
ac,E3R18,63,B2M06,glcur,-1
ac,E3R18,63,E3R18,glcur,1
ac,E3R18,63,B2M06,glu__L,1
ac,E3R18,63,C3M06,glu__L,-1
ac,E3R18,63,E3R18,glu__L,-1
ac,E3R18,63,G3M19,glu__L,-1
ac,E3R18,63,B2M06,gly,-1
ac,E3R18,63,E3R18,gly,1
ac,E3R18,63,B2M06,gthrd,-1
ac,E3R18,63,C3M06,gthrd,1
ac,E3R18,63,B2M06,h2s,-1
ac,E3R18,63,C3M06,h2s,-1
ac,E3R18,63,E3R18,h2s,1
ac,E3R18,63,G3M19,h2s,-1
ac,E3R18,63,E3R18,his__L,1
ac,E3R18,63,G3M19,his__L,-1
ac,E3R18,63,B2M06,ile__L,1
ac,E3R18,63,C3M06,ile__L,-1
ac,E3R18,63,G3M19,ile__L,-1
ac,E3R18,63,B2M06,leu__L,1
ac,E3R18,63,C3M06,leu__L,-1
ac,E3R18,63,E3R18,leu__L,-1
ac,E3R18,63,B2M06,lys__L,1
ac,E3R18,63,G3M19,lys__L,-1
ac,E3R18,63,B2M06,pro__L,1
ac,E3R18,63,E3R18,pro__L,-1
ac,E3R18,63,C3M06,pyr,1
ac,E3R18,63,E3R18,pyr,-1
ac,E3R18,63,G3M19,pyr,-1
ac,E3R18,63,B2M06,ser__D,1
ac,E3R18,63,E3R18,ser__D,-1
ac,E3R18,63,B2M06,val__L,-1
ac,E3R18,63,E3R18,val__L,-1
ac,E3R18,63,G3M19,val__L,1
ac,E3R18,63,C3M06,xan,-1
ac,E3R18,63,E3R18,xan,1
ac,E3R18,64,E3M18,5dglcn,1
ac,E3R18,64,E3R18,5dglcn,-1
ac,E3R18,64,D3R19,ac,1
ac,E3R18,64,E3M18,ac,1
ac,E3R18,64,E3R18,ac,-1
ac,E3R18,64,G3M19,ac,1
ac,E3R18,64,D3R19,acald,-1
ac,E3R18,64,E3M18,acald,-1
ac,E3R18,64,E3R18,acald,1
ac,E3R18,64,G3M19,acald,-1
ac,E3R18,64,D3R19,ala__D,1
ac,E3R18,64,E3M18,ala__D,1
ac,E3R18,64,E3R18,ala__D,-1
ac,E3R18,64,D3R19,ala__L,-1
ac,E3R18,64,E3M18,ala__L,1
ac,E3R18,64,D3R19,arg__L,-1
ac,E3R18,64,E3M18,arg__L,-1
ac,E3R18,64,E3R18,arg__L,-1
ac,E3R18,64,G3M19,arg__L,1
ac,E3R18,64,D3R19,asp__L,1
ac,E3R18,64,E3M18,asp__L,-1
ac,E3R18,64,E3R18,asp__L,-1
ac,E3R18,64,D3R19,co2,1
ac,E3R18,64,E3M18,co2,1
ac,E3R18,64,E3R18,co2,-1
ac,E3R18,64,G3M19,co2,-1
ac,E3R18,64,D3R19,etha,1
ac,E3R18,64,D3R19,etoh,1
ac,E3R18,64,E3M18,etoh,1
ac,E3R18,64,E3R18,etoh,-1
ac,E3R18,64,G3M19,etoh,1
ac,E3R18,64,D3R19,g3pe,-1
ac,E3R18,64,E3R18,g3pe,1
ac,E3R18,64,E3M18,glcn,-1
ac,E3R18,64,E3R18,glcn,1
ac,E3R18,64,D3R19,glu__L,1
ac,E3R18,64,E3M18,glu__L,-1
ac,E3R18,64,E3R18,glu__L,-1
ac,E3R18,64,D3R19,gly,-1
ac,E3R18,64,E3R18,gly,1
ac,E3R18,64,D3R19,gthox,-1
ac,E3R18,64,E3M18,gthox,-1
ac,E3R18,64,E3R18,gthox,1
ac,E3R18,64,D3R19,gthrd,1
ac,E3R18,64,E3M18,gthrd,1
ac,E3R18,64,E3R18,gthrd,-1
ac,E3R18,64,D3R19,h2o2,1
ac,E3R18,64,E3M18,h2o2,1
ac,E3R18,64,E3R18,h2o2,-1
ac,E3R18,64,D3R19,h2s,1
ac,E3R18,64,E3M18,h2s,-1
ac,E3R18,64,E3R18,h2s,-1
ac,E3R18,64,G3M19,h2s,-1
ac,E3R18,64,E3M18,his__L,-1
ac,E3R18,64,E3R18,his__L,1
ac,E3R18,64,D3R19,hxan,1
ac,E3R18,64,E3M18,hxan,-1
ac,E3R18,64,D3R19,lys__L,1
ac,E3R18,64,E3M18,lys__L,-1
ac,E3R18,64,G3M19,lys__L,-1
ac,E3R18,64,E3M18,orn,1
ac,E3R18,64,G3M19,orn,-1
ac,E3R18,64,E3M18,pro__L,1
ac,E3R18,64,E3R18,pro__L,-1
ac,E3R18,64,D3R19,pyr,1
ac,E3R18,64,E3M18,pyr,-1
ac,E3R18,64,E3R18,pyr,1
ac,E3R18,64,G3M19,pyr,-1
ac,E3R18,64,D3R19,ser__D,1
ac,E3R18,64,E3R18,ser__D,-1
ac,E3R18,64,D3R19,val__L,-1
ac,E3R18,64,E3M18,val__L,1
ac,E3R18,64,G3M19,val__L,-1
ac,E3R18,64,D3R19,xan,1
ac,E3R18,64,G3M19,xan,-1
ac,E3R18,65,C3M06,ac,-1
ac,E3R18,65,D3R19,ac,1
ac,E3R18,65,E3R18,ac,1
ac,E3R18,65,B2M06,acald,1
ac,E3R18,65,C3M06,acald,-1
ac,E3R18,65,D3R19,acald,-1
ac,E3R18,65,E3R18,acald,1
ac,E3R18,65,D3R19,ala__D,-1
ac,E3R18,65,E3R18,ala__D,1
ac,E3R18,65,B2M06,ala__L,-1
ac,E3R18,65,C3M06,ala__L,-1
ac,E3R18,65,D3R19,ala__L,1
ac,E3R18,65,E3R18,ala__L,-1
ac,E3R18,65,B2M06,asp__L,-1
ac,E3R18,65,C3M06,asp__L,1
ac,E3R18,65,D3R19,asp__L,-1
ac,E3R18,65,E3R18,asp__L,-1
ac,E3R18,65,B2M06,cgly,1
ac,E3R18,65,C3M06,cgly,-1
ac,E3R18,65,B2M06,co2,1
ac,E3R18,65,C3M06,co2,-1
ac,E3R18,65,D3R19,co2,1
ac,E3R18,65,E3R18,co2,-1
ac,E3R18,65,D3R19,etha,1
ac,E3R18,65,B2M06,etoh,-1
ac,E3R18,65,C3M06,etoh,1
ac,E3R18,65,D3R19,etoh,1
ac,E3R18,65,E3R18,etoh,-1
ac,E3R18,65,B2M06,g3pe,1
ac,E3R18,65,D3R19,g3pe,-1
ac,E3R18,65,B2M06,glu__L,1
ac,E3R18,65,C3M06,glu__L,-1
ac,E3R18,65,D3R19,glu__L,-1
ac,E3R18,65,E3R18,glu__L,-1
ac,E3R18,65,D3R19,gly,-1
ac,E3R18,65,E3R18,gly,1
ac,E3R18,65,D3R19,gthox,1
ac,E3R18,65,E3R18,gthox,-1
ac,E3R18,65,B2M06,gthrd,-1
ac,E3R18,65,C3M06,gthrd,1
ac,E3R18,65,D3R19,gthrd,-1
ac,E3R18,65,E3R18,gthrd,1
ac,E3R18,65,D3R19,h2o2,-1
ac,E3R18,65,E3R18,h2o2,1
ac,E3R18,65,B2M06,h2s,1
ac,E3R18,65,C3M06,h2s,-1
ac,E3R18,65,D3R19,h2s,-1
ac,E3R18,65,E3R18,h2s,-1
ac,E3R18,65,C3M06,his__L,-1
ac,E3R18,65,E3R18,his__L,1
ac,E3R18,65,B2M06,hxan,1
ac,E3R18,65,D3R19,hxan,-1
ac,E3R18,65,B2M06,ile__L,1
ac,E3R18,65,C3M06,ile__L,-1
ac,E3R18,65,D3R19,ile__L,-1
ac,E3R18,65,B2M06,lys__L,1
ac,E3R18,65,C3M06,lys__L,-1
ac,E3R18,65,D3R19,lys__L,-1
ac,E3R18,65,B2M06,pro__L,1
ac,E3R18,65,E3R18,pro__L,-1
ac,E3R18,65,C3M06,pyr,1
ac,E3R18,65,D3R19,pyr,1
ac,E3R18,65,E3R18,pyr,-1
ac,E3R18,65,B2M06,ser__D,1
ac,E3R18,65,D3R19,ser__D,1
ac,E3R18,65,E3R18,ser__D,-1
ac,E3R18,65,B2M06,val__L,-1
ac,E3R18,65,D3R19,val__L,1
ac,E3R18,65,C3M06,xan,-1
ac,E3R18,65,D3R19,xan,1
ac,E3R18,66,D3R19,ac,1
ac,E3R18,66,E2M01,ac,1
ac,E3R18,66,E3R18,ac,-1
ac,E3R18,66,G3M19,ac,-1
ac,E3R18,66,D3R19,acald,-1
ac,E3R18,66,E2M01,acald,-1
ac,E3R18,66,E3R18,acald,1
ac,E3R18,66,G3M19,acald,1
ac,E3R18,66,D3R19,ala__D,-1
ac,E3R18,66,E2M01,ala__D,1
ac,E3R18,66,E3R18,ala__D,-1
ac,E3R18,66,E2M01,ala__L,-1
ac,E3R18,66,E3R18,ala__L,1
ac,E3R18,66,D3R19,asp__L,-1
ac,E3R18,66,E2M01,asp__L,-1
ac,E3R18,66,E3R18,asp__L,1
ac,E3R18,66,G3M19,asp__L,-1
ac,E3R18,66,D3R19,co2,1
ac,E3R18,66,E2M01,co2,1
ac,E3R18,66,E3R18,co2,-1
ac,E3R18,66,G3M19,co2,1
ac,E3R18,66,D3R19,etha,1
ac,E3R18,66,D3R19,etoh,1
ac,E3R18,66,E2M01,etoh,1
ac,E3R18,66,E3R18,etoh,-1
ac,E3R18,66,G3M19,etoh,-1
ac,E3R18,66,D3R19,g3pe,-1
ac,E3R18,66,E3R18,g3pe,1
ac,E3R18,66,D3R19,glu__L,1
ac,E3R18,66,E2M01,glu__L,-1
ac,E3R18,66,E3R18,glu__L,-1
ac,E3R18,66,G3M19,glu__L,-1
ac,E3R18,66,D3R19,gly,1
ac,E3R18,66,E3R18,gly,-1
ac,E3R18,66,D3R19,glyc,1
ac,E3R18,66,G3M19,glyc,-1
ac,E3R18,66,E2M01,gthox,1
ac,E3R18,66,E3R18,gthox,-1
ac,E3R18,66,E2M01,gthrd,-1
ac,E3R18,66,E3R18,gthrd,1
ac,E3R18,66,E2M01,h2o2,-1
ac,E3R18,66,E3R18,h2o2,1
ac,E3R18,66,D3R19,h2s,1
ac,E3R18,66,E2M01,h2s,-1
ac,E3R18,66,E3R18,h2s,-1
ac,E3R18,66,G3M19,h2s,-1
ac,E3R18,66,E2M01,his__L,-1
ac,E3R18,66,E3R18,his__L,1
ac,E3R18,66,D3R19,lys__L,1
ac,E3R18,66,E2M01,lys__L,-1
ac,E3R18,66,G3M19,lys__L,-1
ac,E3R18,66,E2M01,pro__L,1
ac,E3R18,66,E3R18,pro__L,-1
ac,E3R18,66,D3R19,pyr,1
ac,E3R18,66,E2M01,pyr,-1
ac,E3R18,66,E3R18,pyr,-1
ac,E3R18,66,G3M19,pyr,-1
ac,E3R18,66,D3R19,ser__D,-1
ac,E3R18,66,E3R18,ser__D,1
ac,E3R18,66,D3R19,val__L,1
ac,E3R18,66,E2M01,val__L,-1
ac,E3R18,66,G3M19,val__L,-1
ac,E3R18,66,D3R19,xan,1
ac,E3R18,66,G3M19,xan,-1
ac,E3R18,7,E3R11_,4hthr,-1
ac,E3R18,7,E3R18,4hthr,1
ac,E3R18,7,E3R11_,ac,-1
ac,E3R18,7,E3R18,ac,1
ac,E3R18,7,E3R11_,acald,-1
ac,E3R18,7,E3R18,acald,1
ac,E3R18,7,E3R11_,ala__D,1
ac,E3R18,7,E3R18,ala__D,-1
ac,E3R18,7,E3R11_,ala__L,-1
ac,E3R18,7,E3R18,ala__L,1
ac,E3R18,7,E3R11_,asp__L,1
ac,E3R18,7,E3R18,asp__L,-1
ac,E3R18,7,E3R11_,co2,1
ac,E3R18,7,E3R18,co2,-1
ac,E3R18,7,E3R11_,etoh,1
ac,E3R18,7,E3R18,etoh,-1
ac,E3R18,7,E3R11_,glu__L,1
ac,E3R18,7,E3R18,glu__L,-1
ac,E3R18,7,E3R11_,gly,-1
ac,E3R18,7,E3R18,gly,1
ac,E3R18,7,E3R11_,h2s,-1
ac,E3R18,7,E3R18,h2s,1
ac,E3R18,7,E3R11_,leu__L,1
ac,E3R18,7,E3R18,leu__L,-1
ac,E3R18,7,E3R11_,pro__L,1
ac,E3R18,7,E3R18,pro__L,-1
ac,E3R18,7,E3R11_,pyr,1
ac,E3R18,7,E3R18,pyr,-1
ac,E3R18,8,C2M11,ac,-1
ac,E3R18,8,E3R18,ac,1
ac,E3R18,8,C2M11,acald,1
ac,E3R18,8,E3R18,acald,-1
ac,E3R18,8,C2M11,ala__D,-1
ac,E3R18,8,E3R18,ala__D,1
ac,E3R18,8,C2M11,ala__L,1
ac,E3R18,8,E3R18,ala__L,-1
ac,E3R18,8,C2M11,asp__L,1
ac,E3R18,8,E3R18,asp__L,-1
ac,E3R18,8,C2M11,co2,1
ac,E3R18,8,E3R18,co2,-1
ac,E3R18,8,C2M11,etoh,1
ac,E3R18,8,E3R18,etoh,-1
ac,E3R18,8,C2M11,glu__L,-1
ac,E3R18,8,E3R18,glu__L,1
ac,E3R18,8,C2M11,gly,-1
ac,E3R18,8,E3R18,gly,1
ac,E3R18,8,C2M11,gthox,1
ac,E3R18,8,E3R18,gthox,-1
ac,E3R18,8,C2M11,gthrd,-1
ac,E3R18,8,E3R18,gthrd,1
ac,E3R18,8,C2M11,h2o2,-1
ac,E3R18,8,E3R18,h2o2,1
ac,E3R18,8,C2M11,h2s,-1
ac,E3R18,8,E3R18,h2s,1
ac,E3R18,8,C2M11,his__L,-1
ac,E3R18,8,E3R18,his__L,1
ac,E3R18,8,C2M11,pro__L,1
ac,E3R18,8,E3R18,pro__L,-1
ac,E3R18,8,C2M11,pyr,1
ac,E3R18,8,E3R18,pyr,-1
ac,E3R18,8,C2M11,ser__D,1
ac,E3R18,8,E3R18,ser__D,-1
ac,E3R18,9,E3R18,ac,1
ac,E3R18,9,m_6D03,ac,-1
ac,E3R18,9,E3R18,acald,1
ac,E3R18,9,m_6D03,acald,-1
ac,E3R18,9,E3R18,ala__D,1
ac,E3R18,9,m_6D03,ala__D,-1
ac,E3R18,9,E3R18,ala__L,-1
ac,E3R18,9,m_6D03,ala__L,1
ac,E3R18,9,E3R18,arg__L,-1
ac,E3R18,9,m_6D03,arg__L,1
ac,E3R18,9,E3R18,asp__L,-1
ac,E3R18,9,m_6D03,asp__L,1
ac,E3R18,9,E3R18,co2,1
ac,E3R18,9,m_6D03,co2,-1
ac,E3R18,9,E3R18,etoh,-1
ac,E3R18,9,m_6D03,etoh,1
ac,E3R18,9,E3R18,glu__L,-1
ac,E3R18,9,m_6D03,glu__L,1
ac,E3R18,9,E3R18,gly,-1
ac,E3R18,9,m_6D03,gly,1
ac,E3R18,9,E3R18,h2s,1
ac,E3R18,9,m_6D03,h2s,-1
ac,E3R18,9,E3R18,leu__L,-1
ac,E3R18,9,m_6D03,leu__L,1
ac,E3R18,9,E3R18,pro__L,-1
ac,E3R18,9,m_6D03,pro__L,1
ac,E3R18,9,E3R18,pyr,-1
ac,E3R18,9,m_6D03,pyr,1
ac,F3M07,1,F3M07_,ac,-1
ac,F3M07,1,I2R16,ac,1
ac,F3M07,1,F3M07_,acald,-1
ac,F3M07,1,I2R16,acald,1
ac,F3M07,1,F3M07_,ala__D,1
ac,F3M07,1,I2R16,ala__D,-1
ac,F3M07,1,F3M07_,ala__L,-1
ac,F3M07,1,I2R16,ala__L,1
ac,F3M07,1,F3M07_,asp__L,-1
ac,F3M07,1,I2R16,asp__L,1
ac,F3M07,1,F3M07_,co2,1
ac,F3M07,1,I2R16,co2,1
ac,F3M07,1,F3M07_,etoh,1
ac,F3M07,1,I2R16,etoh,-1
ac,F3M07,1,F3M07_,glu__L,1
ac,F3M07,1,I2R16,glu__L,-1
ac,F3M07,1,F3M07_,gly,-1
ac,F3M07,1,I2R16,gly,1
ac,F3M07,1,F3M07_,pro__L,-1
ac,F3M07,1,I2R16,pro__L,1
ac,F3M07,1,F3M07_,pyr,1
ac,F3M07,1,I2R16,pyr,-1
ac,F3M07,1,F3M07_,ser__D,1
ac,F3M07,1,I2R16,ser__D,-1
ac,F3M07,10,A3R04,ac,1
ac,F3M07,10,F3M07_,ac,-1
ac,F3M07,10,A3R04,acald,-1
ac,F3M07,10,F3M07_,acald,1
ac,F3M07,10,A3R04,ade,1
ac,F3M07,10,F3M07_,ade,-1
ac,F3M07,10,A3R04,ala__D,1
ac,F3M07,10,F3M07_,ala__D,-1
ac,F3M07,10,A3R04,ala__L,-1
ac,F3M07,10,F3M07_,ala__L,1
ac,F3M07,10,A3R04,asp__L,1
ac,F3M07,10,F3M07_,asp__L,-1
ac,F3M07,10,A3R04,co2,1
ac,F3M07,10,F3M07_,co2,1
ac,F3M07,10,A3R04,etoh,1
ac,F3M07,10,F3M07_,etoh,-1
ac,F3M07,10,A3R04,glu__L,-1
ac,F3M07,10,F3M07_,glu__L,1
ac,F3M07,10,A3R04,gly,1
ac,F3M07,10,F3M07_,gly,-1
ac,F3M07,10,A3R04,pro__L,1
ac,F3M07,10,F3M07_,pro__L,-1
ac,F3M07,10,A3R04,pyr,-1
ac,F3M07,10,F3M07_,pyr,1
ac,F3M07,11,C3R17,ac,-1
ac,F3M07,11,F3M07_,ac,1
ac,F3M07,11,C3R17,acald,1
ac,F3M07,11,F3M07_,acald,-1
ac,F3M07,11,C3R17,ala__D,1
ac,F3M07,11,F3M07_,ala__D,-1
ac,F3M07,11,C3R17,ala__L,-1
ac,F3M07,11,F3M07_,ala__L,1
ac,F3M07,11,C3R17,asp__L,-1
ac,F3M07,11,F3M07_,asp__L,1
ac,F3M07,11,C3R17,co2,1
ac,F3M07,11,F3M07_,co2,1
ac,F3M07,11,C3R17,etoh,-1
ac,F3M07,11,F3M07_,etoh,1
ac,F3M07,11,C3R17,glu__L,-1
ac,F3M07,11,F3M07_,glu__L,1
ac,F3M07,11,C3R17,gly,-1
ac,F3M07,11,F3M07_,gly,1
ac,F3M07,11,C3R17,ile__L,1
ac,F3M07,11,F3M07_,ile__L,-1
ac,F3M07,11,C3R17,pro__L,1
ac,F3M07,11,F3M07_,pro__L,-1
ac,F3M07,11,C3R17,pyr,-1
ac,F3M07,11,F3M07_,pyr,1
ac,F3M07,11,C3R17,ser__D,-1
ac,F3M07,11,F3M07_,ser__D,1
ac,F3M07,12,B3M02,ac,-1
ac,F3M07,12,F3M07_,ac,1
ac,F3M07,12,B3M02,acald,1
ac,F3M07,12,F3M07_,acald,-1
ac,F3M07,12,B3M02,ala__D,1
ac,F3M07,12,F3M07_,ala__D,-1
ac,F3M07,12,B3M02,ala__L,-1
ac,F3M07,12,F3M07_,ala__L,1
ac,F3M07,12,B3M02,arg__L,1
ac,F3M07,12,F3M07_,arg__L,-1
ac,F3M07,12,B3M02,asp__L,-1
ac,F3M07,12,F3M07_,asp__L,1
ac,F3M07,12,B3M02,co2,-1
ac,F3M07,12,F3M07_,co2,1
ac,F3M07,12,B3M02,etoh,-1
ac,F3M07,12,F3M07_,etoh,1
ac,F3M07,12,B3M02,for,-1
ac,F3M07,12,F3M07_,for,1
ac,F3M07,12,B3M02,glu__L,-1
ac,F3M07,12,F3M07_,glu__L,1
ac,F3M07,12,B3M02,gly,1
ac,F3M07,12,F3M07_,gly,-1
ac,F3M07,12,B3M02,leu__L,1
ac,F3M07,12,F3M07_,leu__L,-1
ac,F3M07,12,B3M02,pro__L,1
ac,F3M07,12,F3M07_,pro__L,-1
ac,F3M07,12,B3M02,pyr,1
ac,F3M07,12,F3M07_,pyr,-1
ac,F3M07,12,B3M02,ser__D,-1
ac,F3M07,12,F3M07_,ser__D,1
ac,F3M07,12,B3M02,thr__L,1
ac,F3M07,12,F3M07_,thr__L,-1
ac,F3M07,13,F3M07_,ac,1
ac,F3M07,13,m_4B03,ac,-1
ac,F3M07,13,F3M07_,acald,-1
ac,F3M07,13,m_4B03,acald,1
ac,F3M07,13,F3M07_,ala__D,1
ac,F3M07,13,m_4B03,ala__D,-1
ac,F3M07,13,F3M07_,ala__L,-1
ac,F3M07,13,m_4B03,ala__L,1
ac,F3M07,13,F3M07_,asp__L,-1
ac,F3M07,13,m_4B03,asp__L,1
ac,F3M07,13,F3M07_,co2,1
ac,F3M07,13,m_4B03,co2,-1
ac,F3M07,13,F3M07_,etoh,1
ac,F3M07,13,m_4B03,etoh,-1
ac,F3M07,13,F3M07_,glu__L,1
ac,F3M07,13,m_4B03,glu__L,-1
ac,F3M07,13,F3M07_,gly,1
ac,F3M07,13,m_4B03,gly,-1
ac,F3M07,13,F3M07_,h2s,1
ac,F3M07,13,m_4B03,h2s,-1
ac,F3M07,13,F3M07_,pro__L,1
ac,F3M07,13,m_4B03,pro__L,-1
ac,F3M07,13,F3M07_,pyr,-1
ac,F3M07,13,m_4B03,pyr,1
ac,F3M07,13,F3M07_,ser__D,-1
ac,F3M07,13,m_4B03,ser__D,1
ac,F3M07,14,F3M07_,ac,1
ac,F3M07,14,F3R08,ac,-1
ac,F3M07,14,E3R01,acac,-1
ac,F3M07,14,F3R08,acac,1
ac,F3M07,14,F3M07_,acald,-1
ac,F3M07,14,F3R08,acald,1
ac,F3M07,14,F3M07_,ade,1
ac,F3M07,14,F3R08,ade,-1
ac,F3M07,14,E3R01,ala__D,1
ac,F3M07,14,F3M07_,ala__D,-1
ac,F3M07,14,E3R01,ala__L,-1
ac,F3M07,14,F3M07_,ala__L,1
ac,F3M07,14,F3R08,ala__L,-1
ac,F3M07,14,E3R01,asp__L,-1
ac,F3M07,14,F3M07_,asp__L,1
ac,F3M07,14,F3R08,asp__L,1
ac,F3M07,14,E3R01,co2,-1
ac,F3M07,14,F3M07_,co2,1
ac,F3M07,14,F3R08,co2,-1
ac,F3M07,14,F3M07_,etoh,1
ac,F3M07,14,F3R08,etoh,-1
ac,F3M07,14,E3R01,glu__L,-1
ac,F3M07,14,F3M07_,glu__L,1
ac,F3M07,14,F3R08,glu__L,-1
ac,F3M07,14,E3R01,gly,1
ac,F3M07,14,F3M07_,gly,-1
ac,F3M07,14,F3R08,gly,-1
ac,F3M07,14,F3M07_,glyc,1
ac,F3M07,14,F3R08,glyc,-1
ac,F3M07,14,E3R01,gthox,-1
ac,F3M07,14,F3R08,gthox,1
ac,F3M07,14,E3R01,gthrd,1
ac,F3M07,14,F3R08,gthrd,-1
ac,F3M07,14,E3R01,h2o2,1
ac,F3M07,14,F3R08,h2o2,-1
ac,F3M07,14,E3R01,h2s,1
ac,F3M07,14,F3R08,h2s,-1
ac,F3M07,14,E3R01,ile__L,1
ac,F3M07,14,F3M07_,ile__L,-1
ac,F3M07,14,F3R08,ile__L,-1
ac,F3M07,14,E3R01,leu__L,-1
ac,F3M07,14,F3R08,leu__L,1
ac,F3M07,14,E3R01,lys__L,1
ac,F3M07,14,F3M07_,lys__L,-1
ac,F3M07,14,F3R08,lys__L,-1
ac,F3M07,14,E3R01,pro__L,1
ac,F3M07,14,F3M07_,pro__L,-1
ac,F3M07,14,F3R08,pro__L,-1
ac,F3M07,14,F3M07_,pyr,-1
ac,F3M07,14,F3R08,pyr,1
ac,F3M07,14,F3M07_,rib__D,1
ac,F3M07,14,F3R08,rib__D,-1
ac,F3M07,14,E3R01,ser__D,-1
ac,F3M07,14,F3M07_,ser__D,1
ac,F3M07,14,E3R01,val__L,-1
ac,F3M07,14,F3M07_,val__L,-1
ac,F3M07,14,F3R08,val__L,1
ac,F3M07,15,E3R18,ac,-1
ac,F3M07,15,F3M07_,ac,-1
ac,F3M07,15,E3R01,acald,-1
ac,F3M07,15,E3R18,acald,-1
ac,F3M07,15,F3M07_,acald,1
ac,F3M07,15,E3R01,ala__D,1
ac,F3M07,15,E3R18,ala__D,-1
ac,F3M07,15,F3M07_,ala__D,1
ac,F3M07,15,E3R01,ala__L,-1
ac,F3M07,15,E3R18,ala__L,1
ac,F3M07,15,F3M07_,ala__L,1
ac,F3M07,15,E3R01,asp__L,-1
ac,F3M07,15,E3R18,asp__L,-1
ac,F3M07,15,F3M07_,asp__L,1
ac,F3M07,15,E3R01,co2,1
ac,F3M07,15,E3R18,co2,-1
ac,F3M07,15,F3M07_,co2,1
ac,F3M07,15,E3R18,etoh,1
ac,F3M07,15,F3M07_,etoh,-1
ac,F3M07,15,E3R01,glu__L,-1
ac,F3M07,15,E3R18,glu__L,1
ac,F3M07,15,F3M07_,glu__L,1
ac,F3M07,15,E3R01,gly,1
ac,F3M07,15,E3R18,gly,1
ac,F3M07,15,F3M07_,gly,-1
ac,F3M07,15,E3R01,gthox,-1
ac,F3M07,15,E3R18,gthox,1
ac,F3M07,15,E3R01,gthrd,1
ac,F3M07,15,E3R18,gthrd,-1
ac,F3M07,15,E3R01,h2o2,1
ac,F3M07,15,E3R18,h2o2,-1
ac,F3M07,15,E3R01,h2s,-1
ac,F3M07,15,E3R18,h2s,1
ac,F3M07,15,E3R01,ile__L,1
ac,F3M07,15,F3M07_,ile__L,-1
ac,F3M07,15,E3R01,lys__L,1
ac,F3M07,15,E3R18,lys__L,-1
ac,F3M07,15,F3M07_,lys__L,-1
ac,F3M07,15,E3R01,pro__L,1
ac,F3M07,15,E3R18,pro__L,-1
ac,F3M07,15,F3M07_,pro__L,-1
ac,F3M07,15,E3R18,pyr,1
ac,F3M07,15,F3M07_,pyr,-1
ac,F3M07,15,E3R01,ser__D,-1
ac,F3M07,15,E3R18,ser__D,-1
ac,F3M07,15,F3M07_,ser__D,1
ac,F3M07,15,E3R01,val__L,1
ac,F3M07,15,E3R18,val__L,-1
ac,F3M07,16,C2R02,ac,1
ac,F3M07,16,F3M07_,ac,-1
ac,F3M07,16,C2R02,acald,-1
ac,F3M07,16,E3R01,acald,-1
ac,F3M07,16,F3M07_,acald,1
ac,F3M07,16,C2R02,ade,-1
ac,F3M07,16,F3M07_,ade,1
ac,F3M07,16,E3R01,ala__D,-1
ac,F3M07,16,F3M07_,ala__D,1
ac,F3M07,16,C2R02,ala__L,-1
ac,F3M07,16,E3R01,ala__L,1
ac,F3M07,16,F3M07_,ala__L,-1
ac,F3M07,16,C2R02,asp__L,-1
ac,F3M07,16,E3R01,asp__L,-1
ac,F3M07,16,F3M07_,asp__L,1
ac,F3M07,16,C2R02,co2,1
ac,F3M07,16,E3R01,co2,-1
ac,F3M07,16,F3M07_,co2,1
ac,F3M07,16,C2R02,etoh,1
ac,F3M07,16,F3M07_,etoh,-1
ac,F3M07,16,C2R02,glu__L,-1
ac,F3M07,16,E3R01,glu__L,-1
ac,F3M07,16,F3M07_,glu__L,1
ac,F3M07,16,C2R02,gly,-1
ac,F3M07,16,E3R01,gly,1
ac,F3M07,16,F3M07_,gly,-1
ac,F3M07,16,C2R02,gthox,1
ac,F3M07,16,E3R01,gthox,-1
ac,F3M07,16,C2R02,gthrd,-1
ac,F3M07,16,E3R01,gthrd,1
ac,F3M07,16,C2R02,h2o2,-1
ac,F3M07,16,E3R01,h2o2,1
ac,F3M07,16,C2R02,h2s,-1
ac,F3M07,16,E3R01,h2s,1
ac,F3M07,16,C2R02,ile__L,-1
ac,F3M07,16,E3R01,ile__L,1
ac,F3M07,16,C2R02,leu__L,1
ac,F3M07,16,E3R01,leu__L,-1
ac,F3M07,16,C2R02,pro__L,1
ac,F3M07,16,E3R01,pro__L,-1
